gear_type,gearbox_type,material,module,teeth,load,speed,gear_ratio,heat_treatment,surface_finish,quantity,delivery_type,price
Bevel,Automotive,Alloy Steel,9.708392739882255,108,4609.353062002493,3046.6115216559983,52.28892321486044,False,Honed,25,Normal,51385.17
Worm,Automotive,Stainless Steel,4.2108101127792485,183,6465.5224920897945,2993.9857936007047,85.3710627731452,False,Raw,25,Urgent,86544.13
Spur,Aerospace,Cast Iron,2.2586905226603604,37,8919.649938161114,1982.3274211490743,35.227343618598276,False,Ground,10,Urgent,36501.09
Bevel,Automotive,Cast Iron,4.585630734344246,99,7733.034766702908,3969.0543123617176,48.27066807914777,True,Ground,25,Urgent,65201.29
Bevel,Agricultural,Steel,5.451501816311897,62,8857.2765455739,3447.149149023618,11.724282999337774,True,Honed,100,Urgent,69649.62
Worm,Automotive,Alloy Steel,6.66517969158932,198,194.24779087419245,1759.8840561320017,64.98780249929936,True,Honed,50,Urgent,90499.2
Spur,Agricultural,Stainless Steel,5.543903458201006,98,1954.4183479691756,4968.509216060886,12.099866683298977,False,Polished,100,Urgent,68593.96
Spur,Automotive,Stainless Steel,5.830467646655963,177,4292.59468440151,2367.6670724009186,33.36950857490419,False,Ground,50,Normal,58547.27
Bevel,Agricultural,Steel,1.2166033452184484,37,8493.633794785721,1651.291955089627,84.27710294054776,False,Ground,25,Normal,49892.7
Helical,Automotive,Cast Iron,3.282581522205904,135,8400.080128517917,3470.185974959673,15.841942556810249,False,Honed,1,Normal,52628.89
Bevel,Automotive,Stainless Steel,3.796269921452548,184,1932.8892865420805,1191.7564073528195,84.17683614448349,False,Honed,100,Normal,64219.92
Bevel,Marine,Steel,9.88379684093304,42,1508.2000876476416,4170.155955061121,63.42661495075199,False,Ground,100,Normal,48901.29
Bevel,Agricultural,Cast Iron,3.6601096463833027,137,8363.554108445669,3433.7815336080544,14.963292718665345,True,Honed,50,Urgent,48357.13
Bevel,Agricultural,Stainless Steel,9.069209639418567,56,5460.199510904471,4363.320233313799,17.680730202257717,False,Raw,25,Urgent,72306.01
Worm,Agricultural,Alloy Steel,3.742625804869709,42,6305.0205831088015,1712.3516783092612,66.65812560689402,False,Polished,25,Urgent,82004.2
Spur,Industrial,Steel,1.8649929793815199,122,8111.140139189241,4286.685258371992,73.18794712442605,True,Raw,50,Urgent,41278.43
Worm,Automotive,Stainless Steel,3.2285565915484993,72,2196.2899895129012,2554.5625995753167,65.91761619895053,True,Polished,25,Urgent,129709.32
Worm,Agricultural,Steel,3.4554554642286814,187,1451.1995190569264,389.86575555865636,71.69114346673139,False,Honed,1,Normal,83208.71
Worm,Industrial,Steel,9.804237345000859,56,8604.538201563144,1051.42941020046,36.79676368369805,False,Ground,100,Normal,51466.13
Bevel,Marine,Steel,7.068623550105134,71,1206.5636485704126,1166.4809099167078,1.1420960116202723,True,Raw,5,Urgent,68412.37
Helical,Agricultural,Alloy Steel,9.385128960588693,63,972.9904218911563,3863.15578389754,53.36113899789199,True,Raw,100,Urgent,66304.92
Spur,Agricultural,Cast Iron,8.514955199843396,63,2843.0442386054315,1095.314527592983,59.85725680572706,True,Honed,50,Normal,33371.41
